Team,Division,Team Name,Organization,City,State,Country
8838B,Math,Robohawks - Century,ORCHARD HILLS,Irvine,California,United States
8878J,Arts,J. O. D,Jockey Hollow Stem Program,MONROE,Connecticut,United States
9039J,Opportunity,Watermellon,BrandywineBOTS Robotics Club,Wilmington,Delaware,United States
9039T,Science,P.A.N.K.,BrandywineBOTS Robotics Club,Wilmington,Delaware,United States
9039Y,Technology,Kraken,BrandywineBOTS Robotics Club,Wilmington,Delaware,United States
9039Z,Engineering,RickRolling,BrandywineBOTS Robotics Club,Wilmington,Delaware,United States
9078X,Math,"Optimus """"Prime""""",GRIFFITHS MIDDLE,Downey,California,United States
9078Z,Arts,Robosynthesis,GRIFFITHS MIDDLE,Downey,California,United States
9123C,Opportunity,Shanghai RuiGuan Team 9123C,ShangHai RuiGuan,Shanghai,Shanghai,China
9123W,Science,Shanghai Ruiguan Team 9123W,ShangHai RuiGuan Robotics Activity Center,Shanghai,Shanghai,China
9123X,Technology,Shanghai RuiGuan Team 9123X,ShangHai RuiGuan,Shanghai,Shanghai,China
9181G,Engineering,Gatorade,Seaquam Secondary,Delta,British Columbia,Canada
9290A,Math,Hereford Zone Robotics,HEREFORD MIDDLE,Monkton,Maryland,United States
9290B,Arts,Hereford Zone Robotics,Hereford Middle School,Monkton,Maryland,United States
9391E,Opportunity,Lost River 5,LOST RIVER HIGH SCHOOL,Merrill,Oregon,United States
9393A,Science,Rockbots,ROCKWAY MIDDLE SCHOOL,Miami,Florida,United States
9447A,Technology,RoboPhoenixes,Palmetto Scholars Academy,North Charleston,South Carolina,United States
9537X,Engineering,Cyber Cowboys,WILLMA CAVITT JUNIOR HIGH,Granite Bay,California,United States
9545X,Math,Wreckin' Crew,Roland Middle School,Roland,Oklahoma,United States
9635C,Arts,MS RoboKnights,CHARLOTTE CHRISTIAN SCHOOL,Charlotte,North Carolina,United States
9635Z,Opportunity,MS RoboKnights,CHARLOTTE CHRISTIAN SCHOOL,Charlotte,North Carolina,United States
9791C,Science,WalshBots - Covid Chaos,WALSH MIDDLE SCHOOL,Framingham,Massachusetts,United States
10001C,Technology,Sponge Bot Spare Parts,PRAIRIE WINDS MIDDLE SCHOOL,Mankato,Minnesota,United States
10004B,Engineering,PU TAI S,普台高中國中部,Nantou County,,Taiwan
10012G,Math,Ten Ton Robotics,Ten Ton Robotics,West Vancouver,British Columbia,Canada
10012P,Arts,Ten Ton Robotics,Ten Ton Robotics,West Vancouver,British Columbia,Canada
10012W,Opportunity,Ten Ton Robotics,Ten Ton Robotics,West Vancouver,British Columbia,Canada
10012X,Science,The Golden Ratio,Ten Ton Robotics,West Vancouver,British Columbia,Canada
10012Y,Technology,Ten Ton Robotics,Ten Ton Robotics,West Vancouver,British Columbia,Canada
10102F,Engineering,Free 2 Play,Vinci Robotics Academy,Burlington,Massachusetts,United States
10102R,Math,Rice,Vinci Robotics Academy,Burlington,Massachusetts,United States
10102W,Arts,Wasted,Vinci Robotics Academy,Burlington,Massachusetts,United States
10102X,Opportunity,X Prime,Vinci Robotics Academy,Burlington,Massachusetts,United States
10102Z,Science,Zephyr,Vinci Robotics Academy,Burlington,Massachusetts,United States
10173Z,Technology,HBS Spark,Henrietta Barnett School,London,,United Kingdom
10444A,Engineering,Electric,STONE HILL MIDDLE,Ashburn,Virginia,United States
10800A,Math,Banana Shoots,ST. MARTIN MIDDLE SCHOOL,Ocean Springs,Mississippi,United States
10800Z,Arts,Mud Dogs,ST. MARTIN MIDDLE SCHOOL,Ocean Springs,Mississippi,United States
10820P,Opportunity,Flying Penguins,WILLOW SPRINGS MIDDLE,LUCAS,Texas,United States
10863B,Science,Denton ACES Team 2,DENTON MAGNET SCHOOL OF TECHNOLOGY,Mobile,Alabama,United States
11045A,Technology,UnderBot,Hsinchu County American School,Zhubei,,Taiwan
11196X,Engineering,JL Artax,John Lyon School,London,,United Kingdom
11581F,Math,Bad Bananas,PLAINWELL MIDDLE SCHOOL,Plainwell,Michigan,United States
11581Z,Arts,Trial and Error,PLAINWELL MIDDLE SCHOOL,Plainwell,Michigan,United States
12350C,Opportunity,CyberWolves,LAKE RIDGE MIDDLE,Woodbridge,Virginia,United States
12909A,Science,Arson,FOUNTAIN MIDDLE SCHOOL,Fountain,Colorado,United States
13460X,Technology,SE Mecharauders,Sherburne-Earlville Senior High School,Sherburne,New York,United States
13460Y,Engineering,The Slightly Below Room Temperaturinators,Sherburne-Earlville Senior High School,Sherburne,New York,United States
13765U,Math,MTS_Legends,Merchant Taylors' School,London,,United Kingdom
13765Z,Arts,MTS_Myopians,Merchant Taylors' School,London,,United Kingdom
14287A,Opportunity,The Panthers of Coding,DU PONT MIDDLE SCHOOL,Belle,West Virginia,United States
14287D,Science,Circuit Breakers,DU PONT MIDDLE SCHOOL,Belle,West Virginia,United States
14791R,Technology,vexer flexer,the harker school,Saratoga,California,United States
15155B,Engineering,Bearcats,Ubly JH/HS,Ubly,Michigan,United States
15486G,Math,Spark,VISTA SCHOOL,IVINS,Utah,United States
15650C,Arts,Memento Mori,Highgate,London,,United Kingdom
15979K,Opportunity,Annihilation Robotics,EIT Academy,Celina,Texas,United States
16689A,Science,The Circuit Breakers,Dracobots,Portland,Oregon,United States
16699Y,Technology,Overclock MS,NY Youth Tech,Flushing,New York,United States
16868A,Engineering,Checkmate,Checkmate Robotics,Markham,Ontario,Canada
17022J,Math,Otter,HappyRobot,New Taipei City,,Taiwan
17814C,Arts,Weston C,WESTON MIDDLE SCHOOL,Weston,Connecticut,United States
18000A,Opportunity,Iron Patriots - Scrappy Doo,Sullivan East Middle School,Bluff City,Tennessee,United States
18000B,Science,Iron Patriots - Bmo,Sullivan East Middle School,Bluff City,Tennessee,United States
18000J,Technology,Iron Patriots - Jack Jack,Sullivan East Middle School,Bluff City,Tennessee,United States
18190C,Engineering,BASIS-C,GUANGZHOU BASIS INTERNATIONAL SCHOOL,Guangzhou,Guangdong,China
18522S,Math,新起点机器人实验室S队,新起点机器人实验室,北京,Beijing,China
18670A,Arts,Mt Seymour Robotics,North Vancouver,North Vancouver,British Columbia,Canada
18891B,Opportunity,G-4s,Granby 4-H Club,East Hartland,Connecticut,United States
19291Y,Science,Pajama Professionals,Ankeney Middle School/Greene County Career Center,Beavercreek,Ohio,United States
19291Z,Technology,Mom's Favorite,Ankeney Middle School/Greene County Career Center,Beavercreek,Ohio,United States
19497F,Engineering,ZERO GRAVITY,FERGUSON HALL FRESHMAN SCHOOL,Beavercreek,Ohio,United States
19497G,Math,Emotional Damage,FERGUSON HALL FRESHMAN SCHOOL,Beavercreek,Ohio,United States
19497H,Arts,Doofenshmirtz Evil Incorporated,FERGUSON HALL FRESHMAN SCHOOL,Beavercreek,Ohio,United States
19497J,Opportunity,No Mercy,FERGUSON HALL FRESHMAN SCHOOL,Beavercreek,Ohio,United States
19991A,Science,PinkOuts,TEXAS SCHOOL FOR THE DEAF,Austin,Texas,United States
20196A,Technology,Spiky Dinos,Northshore Coding and Robotics Club,Great Neck,New York,United States
20237B,Engineering,浙江省杭州滨和中学,浙江省杭州滨和中学,杭州,Zhejiang,China
20242E,Math,Calculated Chaos,Immersioneering,Grandville,Michigan,United States
20315B,Arts,Marcelline Robotics,Collège Sainte-Marcelline,Montreal,Quebec,Canada
20785R,Opportunity,Shattersquad,Queen Elizabeth's School,London,,United Kingdom
20785X,Science,Nova,Queen Elizabeth's School,London,,United Kingdom
20785Z,Technology,Typhoon,Queen Elizabeth's School,London,,United Kingdom
21102A,Engineering,上海民办新华初级中学A队,SHANGHAI XINHUA JUNIOR MIDDLE SCHOOL,Shanghai,Shanghai,China
21218A,Math,Paradox,Young Community Leaders Incubator,Cupertino,California,United States
21551A,Arts,21551A,Zhangjiang Experimental High School To East China Normal Universtity,SHANGHAI,Shanghai,China
22439A,Opportunity,Ponies,MILLBROOK MIDDLE SCHOOL,Millbrook,Alabama,United States
23438A,Science,FFMS Bronco Bots A,FIVE FORKS MIDDLE SCHOOL,Lawrenceville,Georgia,United States
23612T,Technology,Cycle,LAKESIDE JUNIOR HIGH SCHOOL,"Springdale, AR",Arkansas,United States
23835A,Engineering,Bot Beaters,SULPHUR SPRINGS MIDDLE,Sulphur Springs,Texas,United States
23835B,Math,Creeper Beaters,SULPHUR SPRINGS MIDDLE,Sulphur Springs,Texas,United States
24500B,Arts,CCRMS Lions,RAVENSWOOD MIDDLE,East Palo Alto,California,United States
24658J,Opportunity,The Danny Devitoes,JAY MIDDLE SCHOOL,JAY,Oklahoma,United States
25146E,Science,Zip Ties and Duct Tape,Clear Lake Middle School School,Clear Lake,Iowa,United States
25900A,Technology,Allison Aces,ALLISON TRADITIONAL MAGNET MIDDLE,Wichita,Kansas,United States
25900B,Engineering,Allison Gadget Girls,ALLISON TRADITIONAL MAGNET MIDDLE,Wichita,Kansas,United States
25900S,Math,Allison Screwdrivers,ALLISON TRADITIONAL MAGNET MIDDLE,Wichita,Kansas,United States
26003A,Arts,George Drinks Water,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States
27272A,Opportunity,Phoenix Tech,Creator Academy Pty Ltd,Eastwood,,Australia
27301B,Science,Papio Hunters,Waianae Intermediate School,Waianae,Hawaii,United States
27457A,Technology,TRUMAN VEX,TRUMAN MIDDLE,Albuquerque,New Mexico,United States
28006A,Engineering,Alderman Industries,Creative Youth Technology,PLANO,Texas,United States
29088A,Math,苏州青少中心1队,苏州市青少年活动中心,苏州,Jiangsu,China
29500X,Arts,Placer Robotics X (MS),Placer Robotics,Granite Bay,California,United States
29651A,Opportunity,THE GOONIES,Blue Ridge Middle School,Greer,South Carolina,United States
29651C,Science,Wubba Dwuckies,Blue Ridge Middle School,Greer,South Carolina,United States
29651F,Technology,Just Hack It,BLUE RIDGE MIDDLE,Greer,South Carolina,United States
31110A,Engineering,Uh-Oh,Happy Valley Middle School,Elizabethton,Tennessee,United States
32285A,Math,Five Loose Screws,Hudsonville Christian School,HUDSONVILLE,Michigan,United States
32789C,Arts,NRT,NORTHFIELD JR-SR HIGH SCHOOL,Wabash,Indiana,United States
33249A,Opportunity,Alpha and Omega,Bob Jones Junior High School,GREENVILLE,South Carolina,United States
33249C,Science,Alpha Centauri,Bob Jones Junior High School,GREENVILLE,South Carolina,United States
33705A,Technology,LA Matrix,Region 5 Stem Center,LAKE CHARLES,Louisiana,United States
34532D,Engineering,Dragon Robotics,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,Miami,Florida,United States
35016C,Math,(AERO) Redneck Slangers,ARAB JUNIOR HIGH SCHOOL,Arab,Alabama,United States
35075A,Arts,Belmont Hill MS Robotics,BELMONT HILL SCHOOL,Belmont,Massachusetts,United States
37816A,Opportunity,Chapuza,Jacob Coy Middle School,Beavercreek,Ohio,United States
37816B,Science,The Mechanized Scorpions,JACOB COY MIDDLE SCHOOL,Beavercreek,Ohio,United States
37816C,Technology,Sweet & Salty,JACOB COY MIDDLE SCHOOL,Beavercreek,Ohio,United States
37816D,Engineering,Googenheimers,JACOB COY MIDDLE SCHOOL,Beavercreek,Ohio,United States
37816J,Math,The Chosen Ones,JACOB COY MIDDLE SCHOOL,Beavercreek,Ohio,United States
38678C,Arts,Cookie Monsters,St Pius X Middle School,EDGEWOOD,Kentucky,United States
39702A,Opportunity,New Hope Robotics,NEW HOPE MIDDLE SCHOOL,Columbus,Mississippi,United States
39702D,Science,New Hope Robotics,NEW HOPE MIDDLE SCHOOL,Columbus,Mississippi,United States
39702F,Technology,New Hope Robotics,NEW HOPE MIDDLE SCHOOL,Columbus,Mississippi,United States
40994A,Engineering,Zoomin' Aluminum,Dr. Phinnize J. Fisher Middle School,Greenville,South Carolina,United States
40994F,Math,Obsidian Outlaws,Dr. Phinnize J. Fisher Middle School,Greenville,South Carolina,United States
42111P,Arts,Peas in a Pod,Elyria Robotics - Middle School,Elyria,Ohio,United States
42470R,Opportunity,Grizzly Robotics R,GRANITE BAY HIGH,Granite Bay,California,United States
43210E,Science,suPURDUEper Echo,PURDUE POLYTECHNIC HIGH SCHOOL IND,Indianapolis,Indiana,United States
45009V,Technology,The Water Dragons,YOUNG WOMEN'S LEADERSHIP ACADEMY,El Paso,Texas,United States
45784A,Engineering,Edison's Engineers,PARKSIDE MIDDLE,Manassas,Virginia,United States
45784C,Math,DaVinci's Visionaries,PARKSIDE MIDDLE,Manassas,Virginia,United States
45784D,Arts,Archimedes Architects,PARKSIDE MIDDLE,Manassas,Virginia,United States
47969E,Opportunity,Mechanized Metal,PIKE ROAD MIDDLE SCHOOL,Pike Road,Alabama,United States
48604A,Science,CECYTECHMS,CECyTE CHIAPAS,Tuxtla Gutierrez,Chiapas,Mexico
48884A,Technology,Gear Grinders,,San Diego,California,United States
50009Y,Engineering,LW-Y,Guangzhou Liwan Children's Palace,Guangzhou,Guangdong,China
50075B,Math,Oak Hill Robotics,OAK HILL JUNIOR HIGH SCHOOL,Converse,Indiana,United States
50878X,Arts,Geometric Mangos,MOODY MIDDLE,GLEN ALLEN,Virginia,United States
51188D,Opportunity,51188D,,shanghai,Shanghai,China
52800A,Science,Quaranteam,SOARING HEIGHTS PK-8,Erie,Colorado,United States
52800B,Technology,Crispy Fried Chicken,SOARING HEIGHTS PK-8,Erie,Colorado,United States
53999P,Engineering,Robo Hornets,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,Harpursville,New York,United States
54001B,Math,西安市铁一中学,Xi'an TieYi MS,Xi'an,Shaanxi,China
55371D,Arts,Cannibalistic Candy,PRINCETON MIDDLE SCHOOL,PRINCETON,Minnesota,United States
56666E,Opportunity,Create Future Robot-E,Create Future Robot Education Training School,fuzhou,Fujian,China
56666H,Science,Create Future Robot-H,Create Future Robot,fuzhou,Fujian,China
56772A,Technology,St. Mary Robotics,ST MARY SCHOOL,Alexandria,Kentucky,United States
56772B,Engineering,St. Mary Robotics B,ST MARY SCHOOL,Alexandria,Kentucky,United States
57711N,Math,ZipTies,Alchemy Global STEM Institute,Morristown,Tennessee,United States
59200A,Arts,Virtual Braincells,ICC,Milpitas,California,United States
59200F,Opportunity,59200F,ICC,Milpitas,California,United States
61170E,Science,Tiger Epsilon,SOUTH JUNIOR HIGH,St. Cloud,Minnesota,United States
61170J,Technology,Tiger Kappa,SOUTH JUNIOR HIGH,St. Cloud,Minnesota,United States
61187C,Engineering,"AR: Blood, Sweat, and Guinea Pig Snuggles",ALLENDALE MIDDLE SCHOOL,Allendale,Michigan,United States
61187D,Math,AR: Blueberry Smoothies,ALLENDALE MIDDLE SCHOOL,Allendale,Michigan,United States
61187E,Arts,AR: Mechanikal Advantage,ALLENDALE MIDDLE SCHOOL,Allendale,Michigan,United States
61187G,Opportunity,AR: Toothless Waffles,ALLENDALE MIDDLE SCHOOL,Allendale,Michigan,United States
61526F,Science,St. Therese Robotics,ST THERESE SCHOOL,Kansas City,Missouri,United States
61538B,Technology,Bandits,CHENEY MIDDLE SCHOOL,Cheney,Kansas,United States
61538D,Engineering,Big Green Wheel,CHENEY MIDDLE SCHOOL,Cheney,Kansas,United States
61538W,Math,The Silver Bullets,CHENEY MIDDLE SCHOOL  6-8,Cheney,Kansas,United States
61704B,Arts,Maker Planets No.B,玩物星球STEAM俱乐部,HangZhou,Zhejiang,China
62880B,Opportunity,Xiao Man Tou (小馒头),Coast 2 Coast Robotics,Bayside,New York,United States
63724A,Science,University School Sharks Robotics,NSU UNIVERSITY SCHOOL,Ft. Lauderdale,Florida,United States
63724B,Technology,University School Sharks Robotics,NSU UNIVERSITY SCHOOL,Ft. Lauderdale,Florida,United States
65100E,Engineering,Berries in Space,"Pymble Ladies College, Sydney, Australia",Sydney,,Australia
65100K,Math,Thina's Churners,"Pymble Ladies College, Sydney, Australia",Sydney,,Australia
66465C,Arts,Steel Devils III,BRIDGE STREET MIDDLE SCHOOL,Wheeling,West Virginia,United States
66465D,Opportunity,Steel Devils IV,BRIDGE STREET MIDDLE SCHOOL,Wheeling,West Virginia,United States
66465E,Science,Steel Devils V,BRIDGE STREET MIDDLE SCHOOL,Wheeling,West Virginia,United States
66465F,Technology,Steel Devils VI,BRIDGE STREET MIDDLE SCHOOL,Wheeling,West Virginia,United States
66497A,Engineering,Cosmos,Berlin Cosmopolitan School,Berlin,Berlin,Germany
66799X,Math,AST-onishing X,American School in Taichung,Taichung,,Taiwan
69414A,Arts,Dochsuns,ANNIE CAMP JR. HIGH SCHOOL,Jonesboro,Arkansas,United States
